id,sku,name,img_link,description,price,active
2509,5414453090634_9063_1583,acer,http://www.peplan.com/foto/pa/9063.jpg,palm. dissectum garnet,29.3300,1
2517,5414453099484_9948_1583,buddleja,http://www.peplan.com/foto/pa/9948.jpg,dav. black knight,9.0900,1
2519,5414453099453_9945_1583,buddleja,http://www.peplan.com/foto/pa/9945.jpg,dav. pink delight,9.0900,1
2523,5414453099552_9955_1583,pinus,http://www.peplan.com/foto/pa/9955.jpg,sylvestris wateri,10.0600,1
2525,5414453113388_11338_1583,pinus,http://www.peplan.com/foto/pa/11338.jpg,parviflora negishi,10.0600,1
2527,5414453237220_23722_1583,pinus,http://www.peplan.com/foto/pa/23722.jpg,mugo benjamin,10.0600,1
2528,5414453057019_5701_1583,pinus,http://www.peplan.com/foto/pa/5701.jpg,nigra green rocket,10.0600,1
2539,5414453237244_23724_1583,pinus,http://www.peplan.com/foto/pa/23724.jpg,heldreichii compact gem,10.0600,1
2540,5414453054865_5486_1583,pinus,http://www.peplan.com/foto/pa/5486.jpg,pumila glauca,10.0600,1
2557,5414453082028_8202_1583,forsythia,http://www.peplan.com/foto/pa/8202.jpg,int. lynwood,9.0300,1
66378,5404008260124_38321_1152,cornus,http://www.peplan.com/foto/pa/38321.jpg,alba ivory halo®  co 10l 80/+ cm,12.0000,1
82705,5414453845715_84571_1508,hebe - veronica,http://www.peplan.com/foto/pa/84571.jpg,katarina,6.1500,1
2592,5414453050980_5098_1583,philadelphus,http://www.peplan.com/foto/pa/5098.jpg,lemoinei,8.8000,1
2600,5414453104683_10468_1583,pinus,http://www.peplan.com/foto/pa/10468.jpg,mugo mops,10.0600,1
2624,5414453192567_19256_1583,cupressocyparis,http://www.peplan.com/foto/pa/19256.jpg,ley castlewellan gold,3.2200,1
2625,5414453085814_8581_1583,cupressocyparis,http://www.peplan.com/foto/pa/8581.jpg,leylandii,3.4500,1
2626,5414453085821_8582_1583,cupressocyparis,http://www.peplan.com/foto/pa/8582.jpg,leylandii  2001,3.2200,1
2628,5414453044620_4462_1583,thuja,http://www.peplan.com/foto/pa/4462.jpg,atrovirens,3.0500,1
2629,5414453065144_6514_1583,thuja,http://www.peplan.com/foto/pa/6514.jpg,atrovirens,3.6200,1
2630,5414453071381_7138_1583,thuja,http://www.peplan.com/foto/pa/7138.jpg,atrovirens,4.0300,1
2636,5414453180151_18015_1583,thuja,http://www.peplan.com/foto/pa/18015.jpg,excelsa,3.4500,1
2637,5414453177465_17746_1583,thuja,http://www.peplan.com/foto/pa/17746.jpg,excelsa,3.0500,1
2639,5414453061269_6126_1583,thuja,http://www.peplan.com/foto/pa/6126.jpg,occidentalis mirjam,3.4100,1
2640,5414453139791_13979_1583,thuja,http://www.peplan.com/foto/pa/13979.jpg,smaragd,3.0500,1
2641,5414453101583_10158_1583,thuja,http://www.peplan.com/foto/pa/10158.jpg,smaragd,3.7400,1
2644,5414453165806_16580_1583,prunus,http://www.peplan.com/foto/pa/16580.jpg,laur. caucasica,4.0300,1
2647,5414453198064_19806_1158,prunus,http://www.peplan.com/foto/pa/19806.jpg,laur. genolia,3.4000,1
2652,5414453101545_10154_1583,prunus,http://www.peplan.com/foto/pa/10154.jpg,laur. rotundifolia,4.4300,1
2654,5414453149806_14980_1469,cyrtomium,http://www.peplan.com/foto/pa/14980.jpg,fortunei clivicola,0.8500,1
2664,5414453053486_5348_1469,didymochlaena,http://www.peplan.com/foto/pa/5348.jpg,truncatula,1.4000,1
2705,5414453019710_1971_1336,chamaecyparis,http://www.peplan.com/foto/pa/1971.jpg,ellwoodii,1.1000,1
2707,5414453179193_17919_1336,chamaecyparis,http://www.peplan.com/foto/pa/17919.jpg,green pilar,1.6000,1
2720,5414453020105_2010_1336,cupressus,http://www.peplan.com/foto/pa/2010.jpg,gold crest wilma,1.0500,1
2745,5414453076294_7629_1336,picea,http://www.peplan.com/foto/pa/7629.jpg,conica,1.2500,1
2757,5414453055657_5565_1322,sedum,NULL,hybr. herbstfreude (sans chromo),0.6500,1
66375,5414453166117_16611_1046,cordyline indivisa,http://www.peplan.com/foto/pa/16611.jpg,red star (sans chromo),3.6500,1
66374,5414453079318_7931_1046,cordyline indivisa,http://www.peplan.com/foto/pa/7931.jpg,red star (sans chromo),1.6500,1
2764,5414453160085_16008_1428,buxus,http://www.peplan.com/foto/pa/16008.jpg,microphylla rococo,0.7000,1
66373,5414453137940_13794_1046,cordyline indivisa,http://www.peplan.com/foto/pa/13794.jpg,peko (sans chromo),3.6500,1
2768,5414453171029_17102_1322,carex,http://www.peplan.com/foto/pa/17102.jpg,oshimensis evergold (sans chromo),0.7500,1
2783,5414453096926_9692_1583,chamaecyparis,http://www.peplan.com/foto/pa/9692.jpg,pis. filifera nana,3.4100,1
65030,5404008131257_70062_1152,juniperus,http://www.peplan.com/foto/pa/70062.jpg,"pfitzeriana gold star co 7,5l 40/+ cm",8.7500,1
2839,5414453160252_16025_1564,photinia,http://www.peplan.com/foto/pa/16025.jpg,fr. red robin,7.8000,1
2842,5414453097978_9797_1583,pinus,http://www.peplan.com/foto/pa/9797.jpg,strobus radiata,10.0600,1
2844,5414453104676_10467_1583,pinus,http://www.peplan.com/foto/pa/10467.jpg,mugo gnom,10.0600,1
2845,5414453098203_9820_1583,pinus,http://www.peplan.com/foto/pa/9820.jpg,mugo ophir,10.0600,1
2874,5414453059402_5940_1583,thuja,http://www.peplan.com/foto/pa/5940.jpg,occidentalis mr bowling ball,3.5100,1
66372,5414453164960_16496_1046,cordyline indivisa,http://www.peplan.com/foto/pa/16496.jpg,peko (sans chromo),1.6500,1
2898,5414453123424_12342_1322,rosa - buisson,http://www.peplan.com/foto/pa/12342.jpg,couvre-sol the fairy rose/rouge/blanc,2.0000,1
2908,5414453104904_10490_1469,fougeres exterieur,http://www.peplan.com/foto/pa/10490.jpg,mixte,0.9000,1
2981,5414453075044_7504_1600,camellia,http://www.peplan.com/foto/pa/7504.jpg,japonica,11.1200,1
2984,5414453150635_15063_1158,coniferes mixt,http://www.peplan.com/foto/pa/15063.jpg,mixte 1 - pt 17,2.5000,1
2988,5414453059747_5974_1299,erica darleyensis,NULL,mixte,1.1400,1
66371,5414453111919_11191_1046,cordyline indivisa,http://www.peplan.com/foto/pa/11191.jpg,peko,1.7500,1
3035,5414453087382_8738_1158,juniperus,http://www.peplan.com/foto/pa/8738.jpg,med. old gold,2.2500,1
3037,5414453097930_9793_1583,photinia,NULL,fr. red robin,6.7300,1
3038,5414453170947_17094_1583,picea,http://www.peplan.com/foto/pa/17094.jpg,conica,6.0000,1
3040,5414453237695_23769_1158,pinus,http://www.peplan.com/foto/pa/23769.jpg,mugo mughus,2.3000,1
3043,5414453097565_9756_1158,thuja,http://www.peplan.com/foto/pa/9756.jpg,occ. tiny tim,2.2500,1
3045,5414453095516_9551_1158,thuja,http://www.peplan.com/foto/pa/9551.jpg,brabant,1.8500,1
3048,5414453150642_15064_1158,thuja,http://www.peplan.com/foto/pa/15064.jpg,smaragd,3.4500,1
3055,5414453010755_1075_1363,fatsia - aralia sieboldii,http://www.peplan.com/foto/pa/1075.jpg,,9.5000,1
3059,5414453188577_18857_1469,doryopteris,http://www.peplan.com/foto/pa/18857.jpg,pedata,0.7500,1
3060,5414453185491_18549_1363,hedera,http://www.peplan.com/foto/pa/18549.jpg,montgomery,1.4000,1
3052,5414453114071_11407_1469,dryopteris,http://www.peplan.com/foto/pa/11407.jpg,atrata,0.8500,1
3061,5414453021065_2106_1469,pellaea,http://www.peplan.com/foto/pa/2106.jpg,rotundifolia,0.7500,1
165364,5414453931814_93181_1446,agave,http://www.peplan.com/foto/pa/93181.jpg,isthmensis var. kabuto gani variegated,10.7500,1
3136,5414453236131_23613_1600,camellia,http://www.peplan.com/foto/pa/23613.jpg,japonica,6.5700,1
3139,5414453016061_1606_1253,chamaecyparis,http://www.peplan.com/foto/pa/1606.jpg,empire,1.4000,1
3144,5414453150055_15005_1363,choisya,http://www.peplan.com/foto/pa/15005.jpg,ternata sundance,1.8500,1
3152,5414453118383_11838_1153,erica darleyensis,http://www.peplan.com/foto/pa/11838.jpg,mixte coupe 30 cm,8.3300,1
3159,5414453127972_12797_1322,eucalyptus,http://www.peplan.com/foto/pa/12797.jpg,gunni,1.1500,1
